episode,type,rail_idx,target_module_name,port_name,frames,min_mm,final_mm,seated,ep,retracted
25,sc,0,sc_port_0,sc_port_base,393,13.7,33.5,False,ep25,False
26,sfp,3,nic_card_mount_3,sfp_port_1,376,45.9,45.9,False,ep26,False
27,sc,1,sc_port_1,sc_port_base,382,16.0,16.0,False,ep27,False
28,sfp,1,nic_card_mount_1,sfp_port_0,374,43.4,43.4,False,ep28,False
29,sc,1,sc_port_1,sc_port_base,385,13.5,13.5,False,ep29,False
30,sfp,3,nic_card_mount_3,sfp_port_1,440,2.8,2.8,True,ep30,False
31,sc,1,sc_port_1,sc_port_base,368,13.5,13.5,False,ep31,False
32,sfp,1,nic_card_mount_1,sfp_port_0,440,0.7,1.1,True,ep32,False
33,sc,1,sc_port_1,sc_port_base,376,19.7,22.7,False,ep33,False
34,sfp,2,nic_card_mount_2,sfp_port_1,364,0.6,1.1,True,ep34,False
35,sc,0,sc_port_0,sc_port_base,379,0.1,337.1,True,ep35,True
36,sfp,0,nic_card_mount_0,sfp_port_1,376,44.9,45.0,False,ep36,False
37,sc,0,sc_port_0,sc_port_base,430,45.8,198.1,False,ep37,True
38,sfp,3,nic_card_mount_3,sfp_port_1,381,47.8,47.9,False,ep38,False
39,sc,1,sc_port_1,sc_port_base,385,13.8,13.8,False,ep39,False
40,sfp,2,nic_card_mount_2,sfp_port_1,359,0.2,1.1,True,ep40,False
41,sc,0,sc_port_0,sc_port_base,349,130.4,462.3,False,ep41,True
42,sfp,3,nic_card_mount_3,sfp_port_1,370,46.0,46.2,False,ep42,False
43,sc,0,sc_port_0,sc_port_base,376,30.6,33.8,False,ep43,False
44,sfp,1,nic_card_mount_1,sfp_port_0,362,0.5,1.1,True,ep44,False
45,sc,0,sc_port_0,sc_port_base,373,14.0,15.8,False,ep45,False
46,sfp,1,nic_card_mount_1,sfp_port_0,367,1.1,1.1,True,ep46,False
47,sc,1,sc_port_1,sc_port_base,428,15.0,15.0,False,ep47,False
48,sfp,1,nic_card_mount_1,sfp_port_0,366,0.5,1.0,True,ep48,False
49,sc,1,sc_port_1,sc_port_base,383,0.1,0.4,True,ep49,False
50,sfp,2,nic_card_mount_2,sfp_port_1,362,44.8,44.9,False,ep50,False
51,sc,1,sc_port_1,sc_port_base,365,20.5,20.6,False,ep51,False
52,sfp,0,nic_card_mount_0,sfp_port_0,357,45.8,45.8,False,ep52,False
53,sc,1,sc_port_1,sc_port_base,354,0.1,0.3,True,ep53,False
54,sfp,0,nic_card_mount_0,sfp_port_1,367,0.6,1.0,True,ep54,False
55,sc,1,sc_port_1,sc_port_base,371,0.3,0.4,True,ep55,False
56,sfp,4,nic_card_mount_4,sfp_port_1,368,45.8,45.8,False,ep56,False
57,sc,0,sc_port_0,sc_port_base,369,0.1,0.1,True,ep57,False
58,sfp,3,nic_card_mount_3,sfp_port_1,370,45.7,45.7,False,ep58,False
59,sc,0,sc_port_0,sc_port_base,408,13.1,13.1,False,ep59,False
60,sfp,4,nic_card_mount_4,sfp_port_0,363,0.4,1.0,True,ep60,False
61,sc,0,sc_port_0,sc_port_base,388,39.4,247.3,False,ep61,True
